"CommuteType","Sum","Proportion","ResidenceREGCName"
"Bicycle",15207,1.08703810530695,"All of New Zealand"
"Drive company vehicle",101499,7.25542714871771,"All of New Zealand"
"Drive private vehicle",821289,58.7079922712856,"All of New Zealand"
"Ferry",2661,0.19021558481106,"All of New Zealand"
"Other",6828,0.488084183799294,"All of New Zealand"
"Private passenger",20616,1.47368827375604,"All of New Zealand"
"Public bus",44127,3.15431909468533,"All of New Zealand"
"Train",22896,1.63666893266969,"All of New Zealand"
"Walk or jog",72936,5.21366549935344,"All of New Zealand"
"Work at home",290880,20.7929009056149,"All of New Zealand"
"Bicycle",783,0.179723597501773,"Auckland"
"Drive company vehicle",25509,5.85513314006734,"Auckland"
"Drive private vehicle",280530,64.3906268290836,"Auckland"
"Ferry",2460,0.564648850388713,"Auckland"
"Other",279,0.0640394427879881,"Auckland"
"Private passenger",4509,1.03496002699297,"Auckland"
"Public bus",23325,5.35383513630761,"Auckland"
"Train",7695,1.76624914786225,"Auckland"
"Walk or jog",18606,4.2706733781839,"Auckland"
"Work at home",71973,16.5201104508239,"Auckland"
"Bicycle",951,1.04139290407359,"Bay of Plenty"
"Drive company vehicle",8709,9.53679369250986,"Bay of Plenty"
"Drive private vehicle",55632,60.9198423127464,"Bay of Plenty"
"Other",282,0.30880420499343,"Bay of Plenty"
"Private passenger",1533,1.67871222076215,"Bay of Plenty"
"Public bus",384,0.420499342969777,"Bay of Plenty"
"Walk or jog",2409,2.63797634691196,"Bay of Plenty"
"Work at home",21420,23.4559789750329,"Bay of Plenty"
"Bicycle",4548,2.49539109823545,"Canterbury"
"Drive company vehicle",14697,8.0639320516197,"Canterbury"
"Drive private vehicle",113091,62.0506320779563,"Canterbury"
"Ferry",9,0.00493810903344746,"Canterbury"
"Other",1131,0.620555701869897,"Canterbury"
"Private passenger",876,0.480642612588886,"Canterbury"
"Public bus",1452,0.796681590729523,"Canterbury"
"Walk or jog",6504,3.56860679483803,"Canterbury"
"Work at home",39948,21.9186199631288,"Canterbury"
"Bicycle",135,0.900540324194517,"Gisborne"
"Drive company vehicle",1458,9.72583550130078,"Gisborne"
"Drive private vehicle",8889,59.2955773464078,"Gisborne"
"Other",93,0.620372223334,"Gisborne"
"Private passenger",624,4.1624974984991,"Gisborne"
