"CommuteType","Weight"
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",3
"Ferry",1
"Ferry",5
"Ferry",2
"Ferry",1
"Ferry",5
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",2
"Ferry",4
"Ferry",1
"Ferry",3
"Ferry",3
"Ferry",2
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",6
"Ferry",2
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",3
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",4
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",3
"Ferry",1
"Ferry",3
"Ferry",2
"Ferry",6
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",2
"Ferry",2
"Ferry",2
"Ferry",2
"Ferry",3
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",3
"Ferry",1
"Ferry",1
"Ferry",4
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",3
"Ferry",5
"Ferry",5
"Ferry",3
"Ferry",2
"Ferry",2
"Ferry",1
"Ferry",3
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",2
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",4
"Ferry",2
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",4
"Ferry",6
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",2
"Ferry",4
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",4
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",2
"Ferry",4
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",3
"Ferry",2
"Ferry",1
"Ferry",2
"Ferry",4
"Ferry",2
"Ferry",1
"Ferry",2
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",2
"Ferry",2
"Ferry",2
"Ferry",2
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",2
"Ferry",1
"Ferry",2
"Ferry",2
"Ferry",2
"Ferry",2
"Ferry",1
"Ferry",2
"Ferry",3
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",5
"Ferry",1
"Ferry",1
"Ferry",1
"Ferry",2
"Ferry",3
"Ferry",6
"Ferry",5
"Ferry",1
