"CommuteType","Weight"
"Other",1
"Other",1
"Other",1
"Other",1
"Other",3
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",5
"Other",2
"Other",3
"Other",1
"Other",2
"Other",2
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",3
"Other",1
"Other",3
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",2
"Other",3
"Other",2
"Other",5
"Other",1
"Other",1
"Other",3
"Other",1
"Other",3
"Other",1
"Other",2
"Other",3
"Other",4
"Other",3
"Other",3
"Other",4
"Other",4
"Other",1
"Other",2
"Other",2
"Other",3
"Other",3
"Other",1
"Other",2
"Other",3
"Other",1
"Other",2
"Other",2
"Other",2
"Other",1
"Other",4
"Other",2
"Other",4
"Other",2
"Other",3
"Other",1
"Other",4
"Other",5
"Other",4
"Other",6
"Other",6
"Other",1
"Other",2
"Other",3
"Other",3
"Other",6
"Other",6
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",2
"Other",3
"Other",1
"Other",1
"Other",4
"Other",1
"Other",6
"Other",2
"Other",1
"Other",3
"Other",3
"Other",4
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",4
"Other",2
"Other",2
"Other",1
"Other",1
"Other",1
"Other",4
"Other",2
"Other",1
"Other",1
"Other",1
"Other",4
"Other",3
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",2
"Other",2
"Other",2
"Other",1
"Other",2
"Other",6
"Other",5
"Other",4
"Other",2
"Other",1
"Other",2
"Other",2
"Other",3
"Other",2
"Other",5
"Other",2
"Other",1
"Other",2
"Other",1
"Other",3
"Other",1
"Other",3
"Other",1
"Other",2
"Other",2
"Other",1
"Other",1
"Other",1
"Other",2
"Other",3
"Other",2
"Other",1
"Other",2
"Other",3
"Other",2
"Other",4
"Other",1
"Other",1
"Other",3
"Other",1
"Other",4
"Other",3
"Other",1
"Other",3
"Other",1
"Other",1
"Other",1
"Other",3
"Other",2
"Other",2
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",2
"Other",2
"Other",1
"Other",1
"Other",1
"Other",2
"Other",2
"Other",6
"Other",1
"Other",1
"Other",1
"Other",3
"Other",1
"Other",3
"Other",6
"Other",2
"Other",1
"Other",2
"Other",5
"Other",5
"Other",6
"Other",6
"Other",6
"Other",6
"Other",5
"Other",2
"Other",1
"Other",4
"Other",4
"Other",2
"Other",1
"Other",1
"Other",2
"Other",6
"Other",3
"Other",6
"Other",2
"Other",3
"Other",2
"Other",3
"Other",3
"Other",5
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",4
"Other",4
"Other",6
"Other",3
"Other",3
"Other",5
"Other",6
"Other",4
"Other",4
"Other",1
"Other",1
"Other",5
"Other",5
"Other",3
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",3
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",3
"Other",1
"Other",3
"Other",1
"Other",2
"Other",1
"Other",2
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",2
"Other",2
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",2
"Other",2
"Other",1
"Other",3
"Other",1
"Other",3
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",2
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",2
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",2
"Other",2
"Other",1
"Other",1
"Other",1
"Other",3
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",3
"Other",3
"Other",1
"Other",1
"Other",1
"Other",3
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",2
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
"Other",1
