"CommuteType","Weight"
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",6
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",4
"Public bus",1
"Public bus",3
"Public bus",6
"Public bus",4
"Public bus",6
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",4
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",3
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",6
"Public bus",2
"Public bus",1
"Public bus",3
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",4
"Public bus",6
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",2
"Public bus",6
"Public bus",2
"Public bus",3
"Public bus",6
"Public bus",4
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",4
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",4
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",4
"Public bus",1
"Public bus",2
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",3
"Public bus",6
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",6
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",4
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",6
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",3
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",6
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",3
"Public bus",1
"Public bus",4
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",3
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",3
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",3
"Public bus",4
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",4
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",4
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",6
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",4
"Public bus",2
"Public bus",4
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",3
"Public bus",4
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",6
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",6
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",6
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",6
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",3
"Public bus",5
"Public bus",6
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",6
"Public bus",1
"Public bus",2
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",4
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",4
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",5
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",3
"Public bus",5
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",5
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",3
"Public bus",2
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",3
"Public bus",2
"Public bus",1
"Public bus",4
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",4
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",3
"Public bus",2
"Public bus",6
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",3
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",4
"Public bus",4
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",4
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",4
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",5
"Public bus",2
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",4
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",4
"Public bus",2
"Public bus",1
"Public bus",3
"Public bus",3
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",2
"Public bus",2
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",3
"Public bus",2
"Public bus",4
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",5
"Public bus",5
"Public bus",2
"Public bus",1
"Public bus",4
"Public bus",2
"Public bus",1
"Public bus",6
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",2
"Public bus",4
"Public bus",2
"Public bus",3
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",6
"Public bus",4
"Public bus",2
"Public bus",1
"Public bus",4
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",5
"Public bus",6
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",4
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",5
"Public bus",6
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",3
"Public bus",3
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",2
"Public bus",3
"Public bus",3
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",4
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",6
"Public bus",1
"Public bus",3
"Public bus",3
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",6
"Public bus",4
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",2
"Public bus",2
"Public bus",4
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",2
"Public bus",1
"Public bus",1
"Public bus",3
"Public bus",1
"Public bus",3
