"CommuteType","Weight"
"Train",2
"Train",1
"Train",1
"Train",1
"Train",1
"Train",2
"Train",2
"Train",4
"Train",1
"Train",1
"Train",2
"Train",2
"Train",6
"Train",1
"Train",3
"Train",1
"Train",2
"Train",1
"Train",1
"Train",2
"Train",6
"Train",1
"Train",4
"Train",2
"Train",1
"Train",2
"Train",1
"Train",2
"Train",3
"Train",3
"Train",1
"Train",1
"Train",1
"Train",1
"Train",2
"Train",3
"Train",6
"Train",2
"Train",6
"Train",1
"Train",2
"Train",1
"Train",2
"Train",1
"Train",2
"Train",1
"Train",1
"Train",1
"Train",1
"Train",1
"Train",2
"Train",2
"Train",1
"Train",1
"Train",6
"Train",1
"Train",6
"Train",1
"Train",1
"Train",1
"Train",1
"Train",1
"Train",2
"Train",2
"Train",1
"Train",1
"Train",6
"Train",1
"Train",1
"Train",5
"Train",6
"Train",1
"Train",1
"Train",1
"Train",4
"Train",1
"Train",1
"Train",6
"Train",1
"Train",3
"Train",1
"Train",2
"Train",6
"Train",1
"Train",1
"Train",1
"Train",1
"Train",1
"Train",1
"Train",1
"Train",2
"Train",2
"Train",1
"Train",5
"Train",3
"Train",2
"Train",1
"Train",1
"Train",2
"Train",3
"Train",2
"Train",6
"Train",1
"Train",2
"Train",1
"Train",1
"Train",6
"Train",1
"Train",1
"Train",2
"Train",2
"Train",1
"Train",1
"Train",2
"Train",2
"Train",1
"Train",1
"Train",1
"Train",1
"Train",6
"Train",2
"Train",1
"Train",2
"Train",1
"Train",4
"Train",1
"Train",3
"Train",1
"Train",3
"Train",1
"Train",6
"Train",2
"Train",5
"Train",1
"Train",1
"Train",1
"Train",6
"Train",1
"Train",2
"Train",1
"Train",1
"Train",3
"Train",4
"Train",2
"Train",1
"Train",1
"Train",1
"Train",1
"Train",2
"Train",1
"Train",2
"Train",1
"Train",1
"Train",1
"Train",1
"Train",2
"Train",1
"Train",1
"Train",1
"Train",1
"Train",1
"Train",6
"Train",3
"Train",1
"Train",1
"Train",4
"Train",2
"Train",1
"Train",1
"Train",2
"Train",1
"Train",2
"Train",1
"Train",1
"Train",1
"Train",1
"Train",6
"Train",1
"Train",2
"Train",1
"Train",1
"Train",6
"Train",1
"Train",1
"Train",2
"Train",1
"Train",1
"Train",5
"Train",2
"Train",1
"Train",1
"Train",1
"Train",1
"Train",3
"Train",1
"Train",1
"Train",1
"Train",2
"Train",2
"Train",1
"Train",1
"Train",1
"Train",2
"Train",1
"Train",5
"Train",1
"Train",1
"Train",6
"Train",1
"Train",1
"Train",1
"Train",5
"Train",1
"Train",1
"Train",1
"Train",1
"Train",2
"Train",1
"Train",6
"Train",1
"Train",1
"Train",1
"Train",1
"Train",2
"Train",3
"Train",1
"Train",4
"Train",1
"Train",2
"Train",1
"Train",1
"Train",1
"Train",1
"Train",1
"Train",1
"Train",6
"Train",2
"Train",2
"Train",1
"Train",3
"Train",1
"Train",2
"Train",4
"Train",1
"Train",1
"Train",1
"Train",1
"Train",2
"Train",6
"Train",1
"Train",3
"Train",1
"Train",1
"Train",1
"Train",1
"Train",1
"Train",3
"Train",1
"Train",4
"Train",1
"Train",1
"Train",2
"Train",1
"Train",1
"Train",2
"Train",1
"Train",1
"Train",2
"Train",1
"Train",2
"Train",1
"Train",6
"Train",3
"Train",2
"Train",1
"Train",1
"Train",1
"Train",1
"Train",2
"Train",4
"Train",2
"Train",2
"Train",1
"Train",3
"Train",1
"Train",2
"Train",6
"Train",2
"Train",1
"Train",1
"Train",1
"Train",6
"Train",2
"Train",1
"Train",2
"Train",1
"Train",1
"Train",1
"Train",1
"Train",1
"Train",6
"Train",2
"Train",1
"Train",1
"Train",2
"Train",6
"Train",2
"Train",3
"Train",2
"Train",1
"Train",4
"Train",1
"Train",2
"Train",1
"Train",1
"Train",1
"Train",3
"Train",1
"Train",1
"Train",1
"Train",1
"Train",1
"Train",2
"Train",2
"Train",1
"Train",2
"Train",2
"Train",3
"Train",3
"Train",1
"Train",3
"Train",1
"Train",2
"Train",3
"Train",6
"Train",1
"Train",1
"Train",1
"Train",2
"Train",6
"Train",2
"Train",1
"Train",1
"Train",2
"Train",1
"Train",2
"Train",6
"Train",6
"Train",1
"Train",1
"Train",1
"Train",6
"Train",2
"Train",6
"Train",1
"Train",2
"Train",1
"Train",1
"Train",1
"Train",2
"Train",2
"Train",1
"Train",2
"Train",1
"Train",1
"Train",1
"Train",2
"Train",1
"Train",1
"Train",2
"Train",3
"Train",1
"Train",2
"Train",2
"Train",1
"Train",1
"Train",6
"Train",4
"Train",1
"Train",2
"Train",2
"Train",1
"Train",3
"Train",1
"Train",4
"Train",2
"Train",1
"Train",2
"Train",2
"Train",1
"Train",4
"Train",2
"Train",1
"Train",1
"Train",2
"Train",6
"Train",6
"Train",2
"Train",1
"Train",1
"Train",2
"Train",3
"Train",1
"Train",1
"Train",1
"Train",2
"Train",1
"Train",1
"Train",2
"Train",2
"Train",1
"Train",3
"Train",6
"Train",1
"Train",1
"Train",2
"Train",3
"Train",2
"Train",1
"Train",2
"Train",3
"Train",1
"Train",4
"Train",1
"Train",2
"Train",1
"Train",2
"Train",2
"Train",1
"Train",1
"Train",2
"Train",1
"Train",6
"Train",2
"Train",1
"Train",6
"Train",1
"Train",4
"Train",2
"Train",1
"Train",1
