"CommuteType","Weight"
"Walk or jog",3
"Walk or jog",2
"Walk or jog",4
"Walk or jog",3
"Walk or jog",3
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",6
"Walk or jog",2
"Walk or jog",1
"Walk or jog",6
"Walk or jog",5
"Walk or jog",6
"Walk or jog",2
"Walk or jog",4
"Walk or jog",1
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",3
"Walk or jog",3
"Walk or jog",3
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",4
"Walk or jog",1
"Walk or jog",6
"Walk or jog",1
"Walk or jog",5
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",4
"Walk or jog",2
"Walk or jog",2
"Walk or jog",6
"Walk or jog",3
"Walk or jog",1
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",3
"Walk or jog",4
"Walk or jog",3
"Walk or jog",3
"Walk or jog",6
"Walk or jog",1
"Walk or jog",4
"Walk or jog",3
"Walk or jog",2
"Walk or jog",6
"Walk or jog",2
"Walk or jog",1
"Walk or jog",6
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",3
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",6
"Walk or jog",3
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",3
"Walk or jog",1
"Walk or jog",3
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",2
"Walk or jog",4
"Walk or jog",3
"Walk or jog",1
"Walk or jog",1
"Walk or jog",6
"Walk or jog",6
"Walk or jog",1
"Walk or jog",3
"Walk or jog",2
"Walk or jog",1
"Walk or jog",6
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",3
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",5
"Walk or jog",6
"Walk or jog",6
"Walk or jog",2
"Walk or jog",3
"Walk or jog",6
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",6
"Walk or jog",6
"Walk or jog",1
"Walk or jog",6
"Walk or jog",1
"Walk or jog",6
"Walk or jog",6
"Walk or jog",4
"Walk or jog",5
"Walk or jog",4
"Walk or jog",6
"Walk or jog",3
"Walk or jog",2
"Walk or jog",1
"Walk or jog",4
"Walk or jog",5
"Walk or jog",5
"Walk or jog",3
"Walk or jog",4
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",6
"Walk or jog",2
"Walk or jog",5
"Walk or jog",2
"Walk or jog",2
"Walk or jog",4
"Walk or jog",3
"Walk or jog",6
"Walk or jog",6
"Walk or jog",1
"Walk or jog",6
"Walk or jog",1
"Walk or jog",2
"Walk or jog",3
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",6
"Walk or jog",2
"Walk or jog",2
"Walk or jog",3
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",6
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",4
"Walk or jog",3
"Walk or jog",1
"Walk or jog",3
"Walk or jog",3
"Walk or jog",3
"Walk or jog",4
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",3
"Walk or jog",2
"Walk or jog",4
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",4
"Walk or jog",1
"Walk or jog",1
"Walk or jog",4
"Walk or jog",4
"Walk or jog",3
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",2
"Walk or jog",3
"Walk or jog",1
"Walk or jog",1
"Walk or jog",5
"Walk or jog",2
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",3
"Walk or jog",3
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",3
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",3
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",3
"Walk or jog",1
"Walk or jog",2
"Walk or jog",3
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",3
"Walk or jog",3
"Walk or jog",3
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",6
"Walk or jog",2
"Walk or jog",6
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",3
"Walk or jog",4
"Walk or jog",2
"Walk or jog",1
"Walk or jog",5
"Walk or jog",2
"Walk or jog",2
"Walk or jog",6
"Walk or jog",2
"Walk or jog",1
"Walk or jog",4
"Walk or jog",2
"Walk or jog",1
"Walk or jog",6
"Walk or jog",1
"Walk or jog",2
"Walk or jog",4
"Walk or jog",1
"Walk or jog",2
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",4
"Walk or jog",3
"Walk or jog",4
"Walk or jog",6
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",3
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",4
"Walk or jog",5
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",3
"Walk or jog",2
"Walk or jog",6
"Walk or jog",6
"Walk or jog",2
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",6
"Walk or jog",2
"Walk or jog",3
"Walk or jog",6
"Walk or jog",4
"Walk or jog",2
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",3
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",1
"Walk or jog",3
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",2
"Walk or jog",4
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",2
"Walk or jog",2
"Walk or jog",2
"Walk or jog",1
"Walk or jog",6
"Walk or jog",2
"Walk or jog",3
"Walk or jog",2
"Walk or jog",6
"Walk or jog",2
"Walk or jog",1
"Walk or jog",2
"Walk or jog",3
"Walk or jog",1
"Walk or jog",1
"Walk or jog",1
"Walk or jog",3
"Walk or jog",3
"Walk or jog",4
"Walk or jog",1
"Walk or jog",3
"Walk or jog",2
"Walk or jog",2
"Walk or jog",4
